angle	ampl (b)	pos(c)	width (d)
270	0.245	0.02114	0.00047
360	0.0055	0.02134	0.00022
370	0.0058	0.0211	0.00033
200	0.0211	0.02088	0.00043
210	0.04126	0.02079	0.00059
220	0.0598	0.02064	0.00069
230	0.0807	0.0206	0.00078
230	0.0825	0.0206	0.00083
240	0.1069	0.02065	0.0008
250	0.14	0.0207	0.00075
260	0.1842	0.0209	0.00063
270	0.2543	0.02106	0.00048
280	0.3296	0.02134	0.00036
290	0.4143	0.02149	0.00026
300	0.4454	0.02175	0.00022
310	0.3878	0.021827	0.00021
320	0.2764	0.02195	0.000239
330	0.1708	0.02187	0.000267
340	0.091846	0.02182	0.000274
350	0.03789	0.02158	0.000299
